timestamp,function,duration_seconds,memory_kb,total_cpu_time_seconds
2025-07-17 14:49:04,check_smart_contract,0.0004,2.18,0.0004
2025-07-17 14:49:05,check_smart_contract_deployment,0.4359,1.06,0.0169
2025-07-17 14:49:05,is_node_registered_js,0.4027,1.09,0.0064
2025-07-17 14:49:06,get_node_details_js,0.5135,2.4,0.0062
2025-07-17 14:49:06,check_token_availability,0.437,1.22,0.0071
2025-07-17 14:49:06,check_token_expiry,0.4436,1.09,0.0068
2025-07-17 14:49:07,get_capability_token,0.4133,1.62,0.0064

2025-07-17 15:10:00,check_smart_contract,0.0002,2.18,0.0002
2025-07-17 15:10:01,check_smart_contract_deployment,0.445,1.06,0.0071
2025-07-17 15:10:01,is_node_registered_js,0.4293,1.09,0.0069
2025-07-17 15:10:02,get_node_details_js,0.4278,2.4,0.0068
2025-07-17 15:10:02,check_token_availability,0.388,1.22,0.0061
2025-07-17 15:10:02,check_token_expiry,0.3971,1.09,0.0067
2025-07-17 15:10:03,get_capability_token,0.3908,1.59,0.0061

2025-07-17 15:39:56,check_smart_contract,0.0002,2.18,0.0002
2025-07-17 15:39:57,check_smart_contract_deployment,0.4278,1.06,0.0126
2025-07-17 15:39:57,is_node_registered_js,0.5701,1.09,0.0076
2025-07-17 15:40:01,get_node_details_js,4.171,40.25,0.0454
2025-07-17 15:40:04,check_token_availability,2.455,36.63,0.0574
2025-07-17 15:40:06,check_token_expiry,2.2908,36.8,0.0517
2025-07-17 15:40:08,get_capability_token,1.9726,1.75,0.0277

